GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_TotalRounds,Team2_TotalRounds
60894,62393,Breeze,6903,6020,Booster Seat Gaming,Pho Real,1,13,7
60895,62393,Bind,6903,6020,Booster Seat Gaming,Pho Real,2,2,13
60896,62393,Haven,6903,6020,Booster Seat Gaming,Pho Real,1,13,8
60924,62403,Icebox,7046,7047,Bjor's Kittens,Mugiwara,1,13,6
60925,62403,Haven,7046,7047,Bjor's Kittens,Mugiwara,1,13,9
60888,62391,Breeze,6461,6903,Akrew,Booster Seat Gaming,2,7,13
60889,62391,Bind,6461,6903,Akrew,Booster Seat Gaming,1,13,7
60890,62391,Haven,6461,6903,Akrew,Booster Seat Gaming,1,13,4
60903,62396,Breeze,6164,7043,Radiance,sameROFLMAO,1,13,3
60904,62396,Icebox,6164,7043,Radiance,sameROFLMAO,1,13,2
60921,62402,Bind,7047,3545,Mugiwara,CLG Red,1,13,8
60922,62402,Icebox,7047,3545,Mugiwara,CLG Red,1,13,8
60879,62355,Haven,4733,4680,True Rippers,T69,1,13,7
60880,62355,Ascent,4733,4680,True Rippers,T69,1,13,11
60882,62389,Ascent,6461,7042,Akrew,Squishy and Friends,1,13,1
60883,62389,Bind,6461,7042,Akrew,Squishy and Friends,1,13,1
60885,62390,Icebox,6903,6020,Booster Seat Gaming,Pho Real,1,13,2
60886,62390,Haven,6903,6020,Booster Seat Gaming,Pho Real,1,13,3
60897,62394,Breeze,6164,7044,Radiance,Brolympics eSports,1,13,5
60898,62394,Ascent,6164,7044,Radiance,Brolympics eSports,1,13,3
60912,62399,Icebox,7045,7047,Salt and Vinegar,Mugiwara,1,13,11
60913,62399,Split,7045,7047,Salt and Vinegar,Mugiwara,1,13,5
60862,62173,Icebox,6384,4807,Clarity Esports,Team Arrow,1,13,3
60863,62173,Haven,6384,4807,Clarity Esports,Team Arrow,1,13,5
60876,62354,Haven,4829,5997,Team Valor,FS Esports ,1,13,8
60877,62354,Icebox,4829,5997,Team Valor,FS Esports ,2,11,13
60878,62354,Split,4829,5997,Team Valor,FS Esports ,1,13,11
