No,GameID,MatchID,Map,Team1ID,Team2ID,Team1,Team2,Winner,Team1_Eco,Team1_SemiEco,Team1_SemiBuy,Team1_FullBuy,Team1_TotalRounds,Team2_Eco,Team2_SemiEco,Team2_SemiBuy,Team2_FullBuy,Team2_TotalRounds
0,60894,62393,Breeze,6903,6020,Booster Seat Gaming,Pho Real,1,2.0,0.0,5.0,13.0,13,4.0,2.0,4.0,10.0,7
1,60895,62393,Bind,6903,6020,Booster Seat Gaming,Pho Real,2,3.0,3.0,5.0,4.0,2,2.0,0.0,4.0,9.0,13
2,60896,62393,Haven,6903,6020,Booster Seat Gaming,Pho Real,1,2.0,2.0,5.0,12.0,13,2.0,2.0,6.0,11.0,8
3,60924,62403,Icebox,7046,7047,Bjor's Kittens,Mugiwara,1,2.0,2.0,4.0,11.0,13,4.0,1.0,2.0,12.0,6
4,60925,62403,Haven,7046,7047,Bjor's Kittens,Mugiwara,1,4.0,2.0,3.0,13.0,13,3.0,3.0,4.0,12.0,9
5,60888,62391,Breeze,6461,6903,Akrew,Booster Seat Gaming,2,3.0,2.0,2.0,13.0,7,2.0,0.0,5.0,13.0,13
6,60889,62391,Bind,6461,6903,Akrew,Booster Seat Gaming,1,3.0,0.0,4.0,13.0,13,3.0,3.0,5.0,9.0,7
7,60890,62391,Haven,6461,6903,Akrew,Booster Seat Gaming,1,2.0,1.0,4.0,10.0,13,2.0,3.0,7.0,5.0,4
8,60903,62396,Breeze,6164,7043,Radiance,sameROFLMAO,1,2.0,0.0,4.0,10.0,13,4.0,2.0,6.0,4.0,3
9,60904,62396,Icebox,6164,7043,Radiance,sameROFLMAO,1,2.0,0.0,5.0,8.0,13,4.0,2.0,3.0,6.0,2
12,60921,62402,Bind,7047,3545,Mugiwara,CLG Red,1,3.0,1.0,3.0,14.0,13,3.0,1.0,5.0,12.0,8
13,60922,62402,Icebox,7047,3545,Mugiwara,CLG Red,1,3.0,1.0,5.0,12.0,13,4.0,1.0,1.0,15.0,8
14,60879,62355,Haven,4733,4680,True Rippers,T69,1,3.0,1.0,4.0,12.0,13,3.0,3.0,6.0,8.0,7
15,60880,62355,Ascent,4733,4680,True Rippers,T69,1,3.0,1.0,9.0,11.0,13,3.0,0.0,9.0,12.0,11
16,60882,62389,Ascent,6461,7042,Akrew,Squishy and Friends,1,2.0,0.0,3.0,9.0,13,3.0,2.0,4.0,5.0,1
17,60883,62389,Bind,6461,7042,Akrew,Squishy and Friends,1,2.0,0.0,3.0,9.0,13,3.0,3.0,4.0,4.0,1
