Team,TeamAbbreviation,0
#1 Victory Royale,1VR,10
-sheesh-,-she,15
100 Blifted,100B,60
100 Thieves,100T,685
123TAP,123T,70
1337,1337,55
1337va,1337,10
153,153,25
1620 Kings,K16,15
19esports,19,110
1HP,1HP,20
1Tap Tavern,1TT,5
1stCav eSport Club,1stC,15
200 Policemen,200P,15
24Haven,24/H,70
2G4L,2G4L,45
2red,2red,10
303 Esports,303,135
368,368,25
3BL Esports,3BL,5
47 Gaming,47,30
4Fun,4Fun,10
4fan,4fan,10
5Dogs,5Dog,10
5MOKES,5M,55
5NOOBS,5N,20
5Ravens,5RS,15
5gg,5gg,15
5up,5up,10
5ynerG,5yne,20
6045Pirates,PIR,45
666,666,10
95x eSports,95x,15
99Percent.,99PT,25
99cents,99C,15
9z Team,9z,300
A$AP,A$AP,20
ABB ASKI E-Spor WHITE,ABB,40
AERIS,AERI,25
AFTERMIND,AM,10
AG,AG,60
AGAiN,AGAi,10
AGG,AGG,60
AKIHABARA ENCOUNT,AE,10
ALCYONE,ALCY,9
ALCYONE,PlayerALCY,1
ALFA Esport,ALFA,15
ANARCHY,AR,15
ANBU Elite Gaming,ANBU,20
ANEW Esports,ANEW,25
ANKA E-Sports,ANKA,25
ARBIES,ARBI,10
AREA,AREA,35
ARES Gaming,ARES,5
ASI,ASI,5
ATK Mode,ATK,15
ATRAVS,ATR,10
ATROPELADOS,ATRO,50
AUTOCRACY,AUTO,10
AVALON Gaming,AG,35
AVEZ Esport,AVEZ,50
AXIBYTE ESPORTS,AXI,55
Able Esports,AE,75
AboveCloud,ABC,15
Absolute JUPITER,JUP,285
Absolute Legends,aL,15
Acend,ACE,285
Ackerman Team,ACK,10
Action PH,APH,20
Activat3D Esports,A3D,35
Actually Homeless,Actu,110
Adept esport,AE,5
Admirals,Admi,10
Aerstream Esports,Aers,5
Affinity Esports,AFN,5
Against All Odds,AAO,10
Aggie Gaming at UC,Aggi,20
Ahjin,Ahji,20
Aim from Kitchen,Aim,13
Aim from Kitchen,brimstoneAim,2
Aim.Attack,AMT,150
Aion Esports,Aion,60
Air Raiders,AR,15
Akademus Esport,AKA,5
Akatsuki,Akat,20
Akave Esports,AKV,90
Akella,Akel,20
Akrew,Akre,170
Akuma Esports,Akum,10
All Around Savants,AAS,65
All Born to Clutch,ABC,50
All Day Long,ADL,15
All Gamers,AG,95
All Gamers,All,5
All Victory Esports,AV,15
Alliance,[A],445
Allware,ALLW,10
AlmondLatte,AL,5
Alpha Esports Pro,AE,65
Alpha Six Gaming,ASG,50
Alter Ego,AE,330
Alter Ego Celestè,AECL,75
Alterfox Esports,Alte,25
Amarok Esports ,Amar,10
Amateur Team,AT,15
Ambitious,A,10
Anatolia Esports,AES,200
Andbox,ABX,650
Angry Titans,AT,70
Anonymo Esports,Anon,25
Anti Eco Eco Club,AEEC,110
Anubis Gaming,ANB,200
Anuncie Aqui,ANA,25
AoeXe,AoeX,45
Apex,Apex,10
Aqua,Aqua,20
Aquatik,Aqua,10
Aracne Esports,Æ,10
Arbalest,ABL,75
Arcana,Arca,5
ArchiGoKill,Arch,15
Archons,ARCH,30
Arctic Gaming,AG,40
Arctic Gaming Mexico,AGM,75
Aricat Esport,ARC,160
Aricat.Aresta,ARIC,30
Ark5,Ark5,20
ArkAngel,AA,140
Armory Gaming,AG,10
Aspire,Aspi,20
Asteria Gaming,AG,10
Athletico Zombies,ATHZ,25
Atletica Pro Gaming 9,A9,35
AtmosFear,AF,10
Attack All Around,AAA,350
Attacking Soul Esports,ASE,110
Australs,AUS,340
Avant,AV,105
Awake Esports,AE,15
Axolotl,Axol,10
Axsor,AX,165
B Beasts,BB,5
B4 Angels,B4A,105
B4 eSports,B4,165
B7 Warriors,B7,195
BADARANTS,BADA,10
BALANCED?,BALA,5
BANDYCI,BAND,10
BAR100LONA,BAR1,15
BBL Esports,BBL,335
BBL Queens,BBL,55
BDV,BDV,30
BE INFAMOUS,BI,50
BEAST,BST,20
BIG,BIG,10
BIG BOY'S CLUB,BIG,50
BIG SCYTHE,BIGG,10
BLAHAJ,BLAH,35
BLOKES,BLOK,5
BLUEJAYS Frates,BLUE,10
BOOM Esports,BME,610
BRACIA,BRAC,10
BRAVOS GAMING,BRAV,10
BTR ,BTR,10
BULLS Esports,BULL,10
BWG,BWG,25
Bad Boy Crew,Bad,40
Badmental Badgame,BB,15
Bait Academy,BA,145
Balanced Esports,Bala,25
Ballista,BST,50
Bandits,BNDT,30
Banditz,Band,15
Bantz,Bant,15
Barrados Do Divine,Barr,15
Bay Area Vandals,BAV,10
BearClaw Gaming,BCG,60
Bedel Ödeyenler,Bedel,10
BeeNinjas,BeeN,35
Begrip Gaming,Begrip,10
Bencheados Academy,Benc,15
Benchwarmers,BENCH,15
Benchwarmers,Benc,35
Besiktas Esports,BJK,165
Beta Irons,BFe,10
Betrayed's Fantasy Team,Betr,20
Bewds Retirement Home,BRH,35
Big Backwoods,Big,10
Big Baller Brand,Big,65
Big Bang,Big,15
Big Frames,BF,135
BigBrainDOGS,BigB,5
Bigetron Astro,BTR,40
Bizarre Gaming,BZR,10
Black Bears,Blac,15
Black Dragons,BD,90
BlackBird Ignis,BBI,215
Bleed eSports,BLEED,135
Bleiz,Blei,10
Bloom,BLOOM,15
Bnat Char9i,Bnat,10
Boberts-Bugs-B-Gone,Bobe,20
Boca Boston,BB,15
Bonde da Loli Careca,Bond,10
Bonk Babes,Bonk,10
Bonsoir,Bons,35
Booster Seat Gaming,Boos,80
Border Monsters,BOM,170
Born to win,BTW,15
Boss Gold,BOG,5
Bottom Fraggers,BF,25
Bounty Esports,Boun,25
Brain And Friends,Brai,20
Brave,BRV,20
Breakout,Brea,25
Bren Esports,BRN,460
Brimstone Gaming,Brim,230
Brolympics eSports,Brol,10
Broskis,Bros,10
Brotherhood of the Five,B5,5
Builders,BLD,15
Built By Gamers,BBG,720
Built By Gamers Academy,BBG.A,155
Bulldozer Gaming,BDG,20
Bully Hunters,Bull,15
Bunker Esports,Bunk,5
Bunkergg,Bunk,5
Burton n Friends,Burt,25
Buscando Org,Busc,35
Békéscsabai E-sport Egyesület,BEE,45
CANAVARLAR,CNVR,15
CBT Gaming,CBT,250
CE Calling,CEC,55
CERBERUS Esports,CES,100
CGN Esports,CGN,95
CISFAITH,CISF,50
CITRON CHIEN,CC,30
CLB,CLB,20
CLG Red,CLG,150
CLMRT,CLMR,10
CNCI BLUE BEES,BB,80
CNG Esports,CNG,15
COFFEE,COFF,25
